canonical_id,bruns_name,bruns_long_name,canonical_p1,canonical_p2,canonical_8vec,nash_count,dominance_level,is_symmetric,canon_l1_p1,canon_l1_p2,nagel_p_id,nagel_p_paired,nagel_perspective,nagel_matrix_code,nagel_lk_type,nagel_lk_type_description,nagel_emp_class,nagel_emp_class_description,nagel_rgg_class,nagel_rgg_class_description,nagel_swap_sr,nagel_swap_sc,nagel_role_relative_to_canonical,nagel_frac_choose_A,nagel_frac_choose_act0_canonical,nagel_entropy_binary,nagel_entropy_4outcome,nagel_utility_efficiency,nagel_quality_level,nagel_n_pure_NE,nagel_p1_has_dominant,nagel_p2_has_dominant,clean_grif_n_games,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids
52,CoCm,Coordination-Compromise,"2,4,3,1","4,1,3,2","2,4,3,1,4,1,3,2",1,2,False,0,0,110,35,P110,24314132,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,False,False,P1,0.636363636,0.636363636,0.9457,1.3233,0.6364,0.9268,1,False,True,8,0.7191498048769825,0.15325464132316122,0.1041374544499106,0.10955908338931292,146;532;583;624;731;762;795;810
53,CoCo,Coordination,"2,4,3,1","1,4,3,2","2,4,3,1,1,4,3,2",2,0,True,0,1,60,60,P60,24311432,CO1,Coordination type 1 — two pure NE; L1(α) selects one equilibrium (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),C,Coordination: no dominant strategies; two pure NE; coordination problem (9 perspectives),False,False,P1,0.849223947,0.849223947,0.6118,1.2236,0.8492,0.8492,2,False,False,20,0.8687240844215423,0.8597480095837235,0.05833474397375212,0.0782604643328978,92;338;485;553;678;840;895;950;1024;1032;1049;1051;1053;1056;1058;1088;1100;1105;1118;1145
54,CoDl,Coordination-Lock,"2,4,3,1","4,2,3,1","2,4,3,1,4,2,3,1",1,2,False,0,0,91,14,P91,24314231,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,False,False,P1,0.609756098,0.609756098,0.965,1.3507,0.6098,0.9246,1,False,True,8,0.733927608669925,0.16539725194463645,0.11303823792134483,0.16326787340542454,517;602;640;661;666;742;744;832
55,CoHa,,"2,4,3,1","2,4,1,3","2,4,3,1,2,4,1,3",1,2,False,0,1,83,6,P83,24312413,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O4,One-sided dominance: one player has a dominant strategy (class 4 of 4); 18 perspectives,False,False,P1,0.871396896,0.871396896,0.5536,0.9551,0.8714,0.9202,1,False,True,5,0.9393242184244514,0.9362014112014112,0.03409180489262959,0.051333779787917234,343;697;755;772;783
56,CoHr,PursuitCycle,"2,4,3,1","4,1,2,3","2,4,3,1,4,1,2,3",0,0,False,0,0,135,65,P135,24314123,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),False,False,P1,0.753880266,0.753880266,0.8051,1.3943,0.7539,0.8581,0,False,False,0,,,,,
57,CoNc,,"2,4,3,1","3,4,1,2","2,4,3,1,3,4,1,2",1,2,False,0,1,119,46,P119,24313412,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O4,One-sided dominance: one player has a dominant strategy (class 4 of 4); 18 perspectives,False,False,P1,0.858093126,0.858093126,0.5892,1.0287,0.8581,0.9091,1,False,True,8,0.8768863266509925,0.887378658574418,0.06448283859256757,0.07422491816012561,25;168;262;273;584;681;683;723
58,CoPc,,"2,4,3,1","1,4,2,3","2,4,3,1,1,4,2,3",1,2,False,0,1,103,28,P103,24311423,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O4,One-sided dominance: one player has a dominant strategy (class 4 of 4); 18 perspectives,False,False,P1,0.838137472,0.838137472,0.6387,1.1,0.8381,0.9024,1,False,True,7,0.8225572697157463,0.9194055418511144,0.06944692927384306,0.044059226064699836,23;132;226;244;313;426;439
59,CoPd,Revelation,"2,4,3,1","4,3,2,1","2,4,3,1,4,3,2,1",1,2,False,0,0,125,52,P125,24314321,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,False,False,P1,0.742793792,0.742793792,0.8225,1.5898,0.7428,0.7761,1,False,True,7,0.8459497929606625,0.25952764340922235,0.08222960006219018,0.05479692335834939,65;153;159;219;287;325;804
60,CoSh,Asym.Coordination,"2,4,3,1","3,4,2,1","2,4,3,1,3,4,2,1",2,0,False,0,-1,58,130,P58,24313421,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",C,Coordination: no dominant strategies; two pure NE; coordination problem (9 perspectives),False,False,P1,0.824833703,0.824833703,0.6694,1.6694,0.8248,0.5011,2,False,False,0,,,,,
61,DlAs,,"1,2,3,4","2,4,3,1","1,2,3,4,2,4,3,1",1,1,False,1,-1,20,97,P20,34123124,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,True,False,P1,0.873614191,0.1263858089999999,0.5474,1.4411,0.8736,0.3104,1,True,False,0,,,,,
62,DlBa,Deadlock-Battle,"1,2,3,4","4,2,1,3","1,2,3,4,4,2,1,3",1,1,False,1,-1,12,89,P12,34121342,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,False,P1,0.88248337,0.11751663,0.5222,1.2934,0.8825,0.2262,1,True,False,0,,,,,
63,DlCh,Bully,"1,2,3,4","4,3,1,2","1,2,3,4,4,3,1,2",1,1,False,1,-1,17,94,P17,34121243,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,False,P1,0.849223947,0.1507760529999999,0.6118,1.4096,0.8492,0.2417,1,True,False,0,,,,,
64,DlCm,AsymLock,"1,2,3,4","4,1,3,2","1,2,3,4,4,1,3,2",1,1,False,1,0,15,92,P15,34123241,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D2,Dominant strategy: both players have dominant strategies; different conflict structure from D1 (9 perspectives),True,False,P1,0.937915743,0.0620842569999999,0.3357,0.8315,0.9379,0.8914,1,True,True,2,0.055745553976744154,0.20007621951219512,0.04594743097886438,0.06197963402168668,300;504
65,DlCo,,"1,2,3,4","1,4,3,2","1,2,3,4,1,4,3,2",1,1,False,1,1,14,91,P14,34123214,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,True,False,P1,0.924611973,0.075388027,0.3857,1.3507,0.9246,0.6098,1,True,False,8,0.1463620751289748,0.7066492253749189,0.06972737512725011,0.09249458915239181,19;116;178;410;548;600;645;708
66,DlDl,Deadlock,"1,2,3,4","4,2,3,1","1,2,3,4,4,2,3,1",1,1,True,1,0,21,21,P21,34123142,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D2,Dominant strategy: both players have dominant strategies; different conflict structure from D1 (9 perspectives),True,False,P1,0.862527716,0.137472284,0.5776,1.1552,0.8625,0.8625,1,True,True,3,0.13746249992939877,0.10668004728205127,0.06548647530302039,0.04203584046507041,3;93;149
67,DlHa,,"1,2,3,4","2,4,1,3","1,2,3,4,2,4,1,3",1,1,False,1,1,11,88,P11,34121324,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D3,Dominant strategy: both players have dominant strategies; highest internal conflict of D-class (18 perspectives),True,False,P1,0.917960089,0.0820399109999999,0.4093,0.7788,0.918,0.929,1,True,True,2,0.07239819004524879,0.8330792682926829,0.06079198571287058,0.029103480323226752,218;342
68,DlHr,Deadlock-Hero,"1,2,3,4","4,1,2,3","1,2,3,4,4,1,2,3",1,1,False,1,0,10,87,P10,34122341,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,False,P1,0.909090909,0.090909091,0.4395,1.4137,0.9091,0.5942,1,True,False,6,0.07466388332886331,0.39371780779768645,0.041458564759505996,0.10654519081242608,104;222;314;422;522;605
69,DlNc,,"1,2,3,4","3,4,1,2","1,2,3,4,3,4,1,2",1,1,False,1,1,16,93,P16,34121234,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D3,Dominant strategy: both players have dominant strategies; highest internal conflict of D-class (18 perspectives),True,False,P1,0.840354767,0.159645233,0.6335,1.1426,0.8404,0.8869,1,True,True,3,0.2025261099856459,0.9387896825396825,0.1274514407041461,0.027639074054462393,212;340;386
70,DlPc,,"1,2,3,4","1,4,2,3","1,2,3,4,1,4,2,3",1,1,False,1,1,9,86,P9,34122314,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D3,Dominant strategy: both players have dominant strategies; highest internal conflict of D-class (18 perspectives),True,False,P1,0.880266075,0.119733925,0.5286,0.8555,0.8803,0.9401,1,True,True,2,0.185064935064935,0.9046474358974359,0.05969083217808517,0.04646054171257763,52;190
71,DlPd,,"1,2,3,4","4,3,2,1","1,2,3,4,4,3,2,1",1,1,False,1,0,23,99,P23,34122143,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D2,Dominant strategy: both players have dominant strategies; different conflict structure from D1 (9 perspectives),True,False,P1,0.858093126,0.141906874,0.5892,1.278,0.8581,0.816,1,True,True,0,,,,,
72,DlSh,,"1,2,3,4","3,4,2,1","1,2,3,4,3,4,2,1",1,1,False,1,-1,22,98,P22,34122134,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,True,False,P1,0.840354767,0.159645233,0.6335,1.5442,0.8404,0.3259,1,True,False,0,,,,,
73,HaAs,Harmony-Assurance,"3,4,1,2","2,4,3,1","3,4,1,2,2,4,3,1",1,1,False,0,-1,4,81,P4,34122431,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O4,One-sided dominance: one player has a dominant strategy (class 4 of 4); 18 perspectives,False,False,P1,0.940133038,0.940133038,0.3269,1.3197,0.9401,0.5499,1,True,False,0,,,,,
74,HaBa,Harmony-Battle,"3,4,1,2","4,2,1,3","3,4,1,2,4,2,1,3",1,1,False,0,-1,13,90,P13,34124213,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,False,False,P1,0.909090909,0.909090909,0.4395,1.4395,0.9091,0.4967,1,True,False,0,,,,,
75,HaCh,Samaritan'sD,"3,4,1,2","4,3,1,2","3,4,1,2,4,3,1,2",1,1,False,0,-1,7,84,P7,34124312,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,False,False,P1,0.853658537,0.853658537,0.6006,1.5611,0.8537,0.3836,1,True,False,0,,,,,
76,HaCm,Harmony-Compromise,"3,4,1,2","4,1,3,2","3,4,1,2,4,1,3,2",1,1,False,0,0,19,96,P19,34124132,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D3,Dominant strategy: both players have dominant strategies; highest internal conflict of D-class (18 perspectives),False,False,P1,0.900221729,0.900221729,0.4683,1.0219,0.9002,0.8714,1,True,True,3,0.9568562696781444,0.11184355086794111,0.015422306766119677,0.099200387116559,13;191;315
77,HaCo,Harmony-Coordination,"3,4,1,2","1,4,3,2","3,4,1,2,1,4,3,2",1,1,False,0,1,6,83,P6,34121432,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O4,One-sided dominance: one player has a dominant strategy (class 4 of 4); 18 perspectives,False,False,P1,0.920177384,0.920177384,0.4016,0.9551,0.9202,0.8714,1,True,False,5,0.9437513425904008,0.8978587494376967,0.02501446861837472,0.04251278234763285,283;523;789;909;968
78,HaDl,BenevolentType,"3,4,1,2","4,2,3,1","3,4,1,2,4,2,3,1",1,1,False,0,0,88,11,P88,34124231,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D3,Dominant strategy: both players have dominant strategies; highest internal conflict of D-class (18 perspectives),False,False,P1,0.929046563,0.929046563,0.3695,0.7788,0.929,0.918,1,True,True,2,0.894162210338681,0.15977443609022549,0.011028849082677938,0.07709058892635288,50;141
79,HaHa,Harmony,"3,4,1,2","2,4,1,3","3,4,1,2,2,4,1,3",1,1,True,0,1,3,3,P3,34122413,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D1,Dominant strategy: both players have dominant strategies; stable equilibrium (9 perspectives),False,False,P1,0.935698448,0.935698448,0.3443,0.6886,0.9357,0.9357,1,True,True,2,0.932967032967033,0.9301552106430155,0.01398672753995352,0.02978942093690558,192;324
80,HaHr,Harmony-Hero,"3,4,1,2","4,1,2,3","3,4,1,2,4,1,2,3",1,1,False,0,0,18,95,P18,34124123,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,False,False,P1,0.902439024,0.902439024,0.4612,1.1,0.9024,0.8381,1,True,False,5,0.874238839728495,0.22696425673097792,0.05481121678514917,0.10640886282674948,268;471;478;651;673
81,HaNc,,"3,4,1,2","3,4,1,2","3,4,1,2,3,4,1,2",1,1,False,0,1,1,79,P1,43214321,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D1,Dominant strategy: both players have dominant strategies; stable equilibrium (9 perspectives),False,True,P1,0.942350333,0.942350333,0.318,0.7274,0.9424,0.918,1,True,True,1,0.7857142857142857,0.8478260869565217,0.0,0.0,395
82,HaPc,AsymHarmony,"3,4,1,2","1,4,2,3","3,4,1,2,1,4,2,3",1,1,False,0,1,5,82,P5,34121423,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D1,Dominant strategy: both players have dominant strategies; stable equilibrium (9 perspectives),False,False,P1,0.904656319,0.904656319,0.4541,0.8069,0.9047,0.9335,1,True,True,2,0.9277777777777778,0.9422764227642276,0.0235702260395515,0.012647438362686331,17;137
83,HaPd,AltruistType,"3,4,1,2","4,3,2,1","3,4,1,2,4,3,2,1",1,1,False,0,0,8,85,P8,34124321,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D3,Dominant strategy: both players have dominant strategies; highest internal conflict of D-class (18 perspectives),False,False,P1,0.920177384,0.920177384,0.4016,1.0759,0.9202,0.8226,1,True,True,2,0.8946648426812585,0.24022556405263157,0.017411658086672756,0.21851194496163187,95;124
84,HaSh,Harmony-Hunt,"3,4,1,2","3,4,2,1","3,4,1,2,3,4,2,1",1,1,False,0,-1,2,80,P2,34123421,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O4,One-sided dominance: one player has a dominant strategy (class 4 of 4); 18 perspectives,False,False,P1,0.929046563,0.929046563,0.3695,1.3665,0.929,0.5322,1,True,False,0,,,,,
85,HrAs,,"3,1,2,4","2,4,3,1","3,1,2,4,2,4,3,1",0,0,False,1,-1,67,137,P67,24313124,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,False,P1,0.7827051,0.2172948999999999,0.7552,1.5777,0.7827,0.2572,0,False,False,0,,,,,
86,HrBa,QuasiBattle,"3,1,2,4","4,2,1,3","3,1,2,4,4,2,1,3",2,0,False,1,-1,63,133,P63,24311342,CO1,Coordination type 1 — two pure NE; L1(α) selects one equilibrium (1 outcome),B3,Breakaway: 2 CO1 games (Battle of Sexes-like); Lk(α)→NE favoring one player; other NE favors other,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,False,P1,0.729490022,0.270509978,0.8422,1.8113,0.7295,0.3969,2,False,False,0,,,,,
87,HrCh,Hero-Chicken,"3,1,2,4","4,3,1,2","3,1,2,4,4,3,1,2",2,0,False,1,-1,66,136,P66,42132134,CO1,Coordination type 1 — two pure NE; L1(α) selects one equilibrium (1 outcome),B3,Breakaway: 2 CO1 games (Battle of Sexes-like); Lk(α)→NE favoring one player; other NE favors other,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.649667406,0.350332594,0.9344,1.9325,0.6497,0.4745,2,False,False,0,,,,,
88,HrCm,,"3,1,2,4","4,1,3,2","3,1,2,4,4,1,3,2",1,2,False,1,0,107,32,P107,24313241,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,False,P1,0.682926829,0.317073171,0.9012,1.2455,0.6829,0.9357,1,False,True,6,0.3948622402890696,0.14642334822421396,0.1270437062223557,0.0919020709019653,354;382;388;425;437;717
89,HrCo,,"3,1,2,4","1,4,3,2","3,1,2,4,1,4,3,2",0,0,False,1,1,65,135,P65,24313214,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,False,P1,0.858093126,0.141906874,0.5892,1.3943,0.8581,0.7539,0,False,False,0,,,,,
90,HrDl,,"3,1,2,4","4,2,3,1","3,1,2,4,4,2,3,1",1,2,False,1,0,87,10,P87,24313142,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,False,P1,0.594235033,0.405764967,0.9742,1.4137,0.5942,0.9091,1,False,True,6,0.40236504761292674,0.10818236573680821,0.1097712125466382,0.05574242247149383,148;220;327;496;622;692
91,HrHa,,"3,1,2,4","2,4,1,3","3,1,2,4,2,4,1,3",1,2,False,1,1,95,18,P95,24311324,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,False,P1,0.838137472,0.161862528,0.6387,1.1,0.8381,0.9024,1,False,True,7,0.1549812144456281,0.8522408283505332,0.06596105499030379,0.06160485106737091,172;440;444;477;593;660;719
92,HrHr,Hero,"3,1,2,4","4,1,2,3","3,1,2,4,4,1,2,3",2,0,True,1,0,62,62,P62,24312341,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",B4,Breakaway: 1 CO2 game (Battle of Sexes-like); each NE is NES for different player; L1(α) fails to coordinate,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,False,P1,0.818181818,0.181818182,0.684,1.3681,0.8182,0.8182,2,False,False,20,0.3578248299428975,0.3390051290942344,0.13533538333351927,0.13492859052033593,43;392;582;760;814;836;904;932;955;971;975;985;989;1007;1019;1069;1071;1083;1102;1119
93,HrNc,,"3,1,2,4","3,4,1,2","3,1,2,4,3,4,1,2",1,2,False,1,1,127,54,P127,24311234,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),B1,Breakaway: 4 games (DD+OD1) incl. Prisoner's Dilemma; NE ≠ NES; ~30% cooperate (off-equilibrium),O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,False,P1,0.707317073,0.292682927,0.8722,1.7852,0.7073,0.6718,1,False,True,7,0.2496810509347139,0.8157786246060228,0.13373089895760135,0.08991207701645303,11;179;204;216;363;489;549
94,HrPc,,"3,1,2,4","1,4,2,3","3,1,2,4,1,4,2,3",1,2,False,1,1,113,39,P113,24312314,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,False,P1,0.862527716,0.137472284,0.5776,1.0933,0.8625,0.8847,1,False,True,5,0.14044930096480596,0.9007729918368217,0.07628183386021391,0.05880960406269931,599;694;725;778;844
95,HrPd,,"3,1,2,4","4,3,2,1","3,1,2,4,4,3,2,1",1,2,False,1,0,122,49,P122,42131234,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,True,P1,0.66962306,0.3303769399999999,0.9153,1.301,0.6696,0.9246,1,False,True,6,0.37772597772597766,0.17902635981505696,0.15851464607796,0.09263160195397187,186;412;430;449;465;589
96,HrSh,,"3,1,2,4","3,4,2,1","3,1,2,4,3,4,2,1",0,0,False,1,-1,68,138,P68,24312134,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,False,P1,0.705099778,0.294900222,0.875,1.6004,0.7051,0.2018,0,False,False,0,,,,,
97,NcAs,Mutualism,"2,4,1,3","2,4,3,1","2,4,1,3,2,4,3,1",1,1,False,0,-1,45,118,P45,24132431,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O4,One-sided dominance: one player has a dominant strategy (class 4 of 4); 18 perspectives,False,False,P1,0.922394678,0.922394678,0.3937,1.3936,0.9224,0.4945,1,True,False,0,,,,,
98,NcBa,Samson,"2,4,1,3","4,2,1,3","2,4,1,3,4,2,1,3",1,1,False,0,-1,51,124,P51,24134213,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,False,False,P1,0.687361419,0.687361419,0.8962,1.8046,0.6874,0.3237,1,True,False,0,,,,,
99,NcCh,Hegemony,"2,4,1,3","4,3,1,2","2,4,1,3,4,3,1,2",1,1,False,0,-1,47,120,P47,24134312,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,False,False,P1,0.793791574,0.793791574,0.7342,1.6402,0.7938,0.3215,1,True,False,0,,,,,
